date,uri,hdUri,thumbUri,aspectRatio,aspectRatioThumb,blurHash,blurHashThumb
1995-06-16,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-16.jpg,https://apod.nasa.gov/apod/image/e_lens.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-16.jpg,1,1.78,KG8O6$RkMta]WBt8eiodp1,LM7eMDRkR1a]t1a#WGj]VoWAp1WG
1995-06-20,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-20.jpg,https://apod.nasa.gov/apod/image/pleiades2.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-20.jpg,1.4,1.78,L542VvkaV.RKWCRhacofM]ogjrRg,"L642Y,o*V:RKagRhabogRio$jWRL"
1995-06-21,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-21.jpg,https://apod.nasa.gov/apod/image/sn1987a_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-21.jpg,1,1.78,"KA8C%QW:1#oft7R%6*ax],","LJ9rX-bb1foLoLofR*aeFLjZ,:R*"
1995-06-22,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-22.jpg,https://apod.nasa.gov/apod/image/earth_a17.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-22.jpg,1,1.78,KJC?fv%L0KIAjYx]NERjM^,LDDJC*?H0M9vIAWAtRR--:WUMxn#
1995-06-23,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-23.jpg,https://apod.nasa.gov/apod/image/egret_gro.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-23.jpg,1.61,1.78,L+FslHn%Mdk8bHjbWYk90mW;s%bH,L+F%G6n%Mdk8bHjIWYk80:bHsjbH
1995-06-24,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-24.jpg,https://apod.nasa.gov/apod/image/gamma_crab.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-24.jpg,1.47,1.78,LKIwNNOX1JRjK4-AWC9]1_W;oKWV,LLJWgGOX1IRjS~=xNa5RF^W;WBR*
1995-06-25,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-25.jpg,https://apod.nasa.gov/apod/image/jupiter1_vgr.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-25.jpg,1.34,1.78,"LbGQ%h-UNIoe}=sSR,oKRQWBoLWC","LXGj{8=_I;s.}?e.R,oJRjRkayWB"
1995-06-26,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-26.jpg,https://apod.nasa.gov/apod/image/m100_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-26.jpg,1.01,1.78,KA97IwIU0e-oIoRk5Qj[=x,LGAJc@M{0yxbxaNGR*nhEMkC-UV@
1995-06-27,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-27.jpg,https://apod.nasa.gov/apod/image/uitm101.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-27.jpg,1,1.78,K97]AES05zWUWUoM1Vsq-E,"LB8.htNr1C,_NYWUxIoMA8xI,_NY"
1995-06-28,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-28.jpg,https://apod.nasa.gov/apod/image/catseye.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-28.jpg,1.21,1.78,"KKA8W3af1vWCs.oe63jt,Z",LTC4Uzaf1vt6R+t6s.RkOVjZnjX7
1995-06-29,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-29.jpg,https://apod.nasa.gov/apod/image/earthmoon.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-29.jpg,1.39,1.78,LA5rAAITD$?dITxuxvITM_t8t8M_,LC6H=jITD$?wD$xux]D%j;j]a$aw
1995-06-30,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-06-30.jpg,https://apod.nasa.gov/apod/image/idadactyl.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-06-30.jpg,1.92,1.78,LLAcl0xZ0Loz%1%1jsIp9at7?GM{,"LLA,I5xZ0LtR%2%2oKIp9at7?GM{"
1995-07-01,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-01.jpg,https://apod.nasa.gov/apod/image/hooker.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-01.jpg,1.68,1.78,L4B:vzj[_3D%00D%_3xuof9F-;00,L4Bg3uxu-;D%4nIU~qxuay9Fxu00
1995-07-02,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-02.jpg,https://apod.nasa.gov/apod/image/cartwheel_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-02.jpg,1.45,1.78,L87USgM|00-:xwt8jYRj9Ht7-fE2,L87-gDM{01?Zo$t8t7Rj9dxa?8D*
1995-07-03,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-03.jpg,https://apod.nasa.gov/apod/image/orion_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-03.jpg,1,1.78,KCEnt]:P[ot7-U0}57s:EM,LHFh6Wz.}X0zJB^O5RJARPRj%2oJ
1995-07-04,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-04.jpg,https://apod.nasa.gov/apod/image/fireworks_wiyn.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-04.jpg,1,1.78,K57Ki7oz0J%3ogNa4-of?H,L87^uwj?0KS2%2t7S2kCE1j[%Ms:
1995-07-05,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-05.jpg,https://apod.nasa.gov/apod/image/saturn_night.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-05.jpg,1.69,1.78,LFD[wb0NDk~ot6=_V[Wq9H^%xt9H,LGEB$z0NDk~ooy=_V[W;Dk^%tQ9H
1995-07-06,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-06.jpg,https://apod.nasa.gov/apod/image/saturn_2moons.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-06.jpg,1.29,1.78,LOBVkLoe0hR+ayNHj[oL0$WC^hs.,LZD8tAoe0hR+WVRkj[oe9wWW-ms-
1995-07-07,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-07.jpg,https://apod.nasa.gov/apod/image/farside_a13.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-07.jpg,2.16,1.78,LCAmbx9ZIWWB01WAt6s:Io%2xaj],LCAw0WD*IpRj01WAt6t6IUxtt7WX
1995-07-08,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-08.jpg,https://apod.nasa.gov/apod/image/a13_servicemod.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-08.jpg,0.74,1.78,TF9@ebx[4T?cofD%DiRj%M4nWB-;,LMBgG6%M00IA_Nog9FM{s;WBRjay
1995-07-09,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-09.jpg,https://apod.nasa.gov/apod/image/reenter_a13.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-09.jpg,1.56,1.78,LA9j[Y~q?vxvs:RQM{M{M_M{Rjfi,LB9tc8~q?vxvaeMyM{M{M{RjWBof
1995-07-10,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-10.jpg,https://apod.nasa.gov/apod/image/a2218lens_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-10.jpg,2.05,1.78,L684i6M{IU_3xut7xuWB00xuxuD%,L78NqbIURj_3t7xuxuj[00xuofD%
1995-07-11,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-11.jpg,https://apod.nasa.gov/apod/image/microlens_wht.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-11.jpg,2.01,1.78,LQ8o{MjJbIXMoej[fjNbW|juaxk8,LT8yWzaOstScoej[bFNbW|jbWSk9
1995-07-12,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-12.jpg,https://apod.nasa.gov/apod/image/etacarinae_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-12.jpg,1.13,1.78,KFAlC8$O0zoLWVR+0zNu-.,LKCOO7$O0gR+oeS2WBs:9bS2%Loe
1995-07-13,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-13.jpg,https://apod.nasa.gov/apod/image/stringofpearls.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-13.jpg,2.58,1.78,L13bgo%MIUofxuxut7of00RjxuWB,L23bgot7ayt7t7t7ofof4nWBayWB
1995-07-14,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-14.jpg,https://apod.nasa.gov/apod/image/jupimpact.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-14.jpg,1.12,1.78,KdEMm{-;D%~pxtMyadRjWC,LVEWE$?uDjRl~pxtM{f+ayRkWCjY
1995-07-15,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-15.jpg,https://apod.nasa.gov/apod/image/craterchain1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-15.jpg,1.14,1.78,KIEyb[D%IU00%Mt7ayt7xu,LFEo[I9F9F-;00-;t7IUofWBxuof
1995-07-16,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-16.jpg,https://apod.nasa.gov/apod/image/usgsmars.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-16.jpg,1,1.78,KXGH*QR-58~AbHEME2oJNH,LYH-YxNdE3js~AWrRkWCj?j[RkWC
1995-07-17,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-17.jpg,https://apod.nasa.gov/apod/image/barsoom.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-17.jpg,0.76,1.78,"TGA,8c0i59?DNHE45U=^RkE3xs$~",LbC=#359I?};%JRkNI%0W;smRlba
1995-07-18,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-18.jpg,https://apod.nasa.gov/apod/image/CygnusLoop_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-18.jpg,1.99,1.78,"L89G,L1HIUogojWEM_$%0P={SuRi",L99Z=h1HnNI[ojR-M_%00P={J5xC
1995-07-19,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-19.jpg,https://apod.nasa.gov/apod/image/olympus.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-19.jpg,1.44,1.78,LQFYV=0M-pRjt6ofRkof%LjsM|of,LRF5vx0M-:RjxZofRjofxuayRjof
1995-07-20,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-20.jpg,https://apod.nasa.gov/apod/image/grandcanal.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-20.jpg,2.59,1.78,LMH^^NR-I=%0~AWWjts.xts.R*ay,"LMIX4,IroJa}~AR+oJs.%1s.NIs."
1995-07-21,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-21.jpg,https://apod.nasa.gov/apod/image/marslander.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-21.jpg,2.9,1.78,LLE{I2Xn9$k9~Rfkj=WXM^a0nMV@,LLF#?LXUE2M{~RjYoIRjNGn$j?oL
